timestamp,exec_twist_x,exec_twist_y,exec_twist_z,exec_twist_r,exec_twist_p,exec_twist_yaw,p_goal_0_raw,p_goal_1_raw,p_goal_2_raw,p_goal_0,p_goal_1,p_goal_2
24.665499,0.000000,0.000000,0.000000,-0.348325,-0.001193,-0.203741,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.693328,0.000000,0.000000,0.000000,-0.348203,-0.000604,-0.203951,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.719337,0.000000,0.000000,0.000000,-0.348290,0.000226,-0.203804,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.744413,0.000000,0.000000,0.000000,-0.348292,0.000444,-0.203800,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.770530,0.000000,0.000000,0.000000,-0.348326,0.000869,-0.203741,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.794569,0.000000,0.000000,0.000000,-0.347941,0.001893,-0.204109,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.819329,0.000000,0.000000,0.000000,-0.348600,0.001892,-0.203264,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.846025,0.000000,0.000000,0.000000,-0.348579,0.002311,-0.203296,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.871544,0.000000,0.000000,0.000000,-0.348211,0.003582,-0.203624,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.895929,0.000000,0.000000,0.000000,-0.348111,0.003524,-0.203797,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.922356,0.000000,0.000000,0.000000,-0.347346,0.005470,-0.204779,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.950040,0.000000,0.000000,0.000000,-0.342138,0.012092,-0.210950,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.975368,0.000000,0.000000,0.000000,-0.253547,0.009712,-0.157699,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
24.999135,0.000000,0.000000,0.000000,-0.155566,-0.002715,-0.083611,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.025957,0.000000,0.000000,0.000000,-0.059897,-0.017712,-0.006803,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
25.051416,0.000000,0.000000,0.000000,-0.019577,-0.021773,0.022457,0.561574,0.190508,0.247918,0.561574,0.247918,0.190508
