timestamp,norm_pos_x,norm_pos_y,screen_pos_x,screen_pos_y
26.035589,0.517201,0.851237,662.016846,107.109016
26.067566,0.517028,0.850342,661.796265,107.753548
26.103578,0.516720,0.849522,661.402039,108.344063
26.143405,0.516105,0.848871,660.614685,108.813171
26.173299,0.515864,0.848745,660.306030,108.903313
26.204785,0.515287,0.848693,659.567871,108.940910
26.235597,0.514845,0.848945,659.001221,108.759697
26.271576,0.514607,0.848695,658.697205,108.939857
26.303558,0.514519,0.848611,658.584717,109.000000
26.335609,0.514721,0.848030,658.843384,109.418671
26.371580,0.515036,0.847868,659.246094,109.535324
26.403598,0.515187,0.847798,659.438904,109.585396
26.439540,0.515241,0.847398,659.509094,109.873756
26.471558,0.515188,0.847315,659.441040,109.932930
26.503618,0.515180,0.846908,659.430847,110.226494
26.539621,0.515165,0.846442,659.410889,110.561890
26.574124,0.515293,0.846010,659.574646,110.872520
26.607143,0.515291,0.845823,659.573059,111.007713
26.639570,0.515380,0.846226,659.686462,110.716965
26.671541,0.515334,0.846937,659.627991,110.205528
26.707566,0.515179,0.847214,659.428894,110.005829
26.739580,0.515014,0.847457,659.217651,109.831200
26.771567,0.514796,0.847403,658.939514,109.869560
26.807596,0.514630,0.847277,658.726318,109.960678
26.839568,0.514649,0.847147,658.750732,110.054253
29.083565,0.420808,0.837591,538.634827,116.934776
29.123096,0.419483,0.837448,536.938049,117.037109
29.154194,0.418163,0.836985,535.249146,117.370987
29.183582,0.417181,0.837002,533.991272,117.358803
29.219536,0.416336,0.836997,532.910095,117.361847
29.251589,0.415534,0.836946,531.883850,117.398865
29.287536,0.414722,0.836918,530.844788,117.418793
29.319517,0.413898,0.837010,529.789185,117.353119
29.351531,0.412890,0.836662,528.498779,117.603401
29.387532,0.412086,0.835998,527.469788,118.081543
29.419608,0.411181,0.835267,526.312012,118.607964
29.451577,0.410391,0.834177,525.300781,119.392845
29.487531,0.409943,0.833676,524.726746,119.753372
29.519536,0.409301,0.833615,523.905518,119.797035
29.555558,0.408747,0.833849,523.196350,119.628685
29.587566,0.408520,0.833572,522.905151,119.828133
29.619511,0.408617,0.833480,523.029358,119.894585
29.655524,0.408708,0.833625,523.146301,119.790276
29.687515,0.408944,0.833734,523.448486,119.711853
29.723505,0.408873,0.833932,523.357727,119.568802
29.755603,0.408760,0.834004,523.212219,119.517296
29.787490,0.408715,0.833916,523.155457,119.580513
29.830012,0.408717,0.833706,523.158264,119.731621
29.858111,0.408961,0.833220,523.469788,120.081543
29.887535,0.409009,0.832692,523.531128,120.461433
29.923520,0.408889,0.833056,523.378479,120.199776
29.955537,0.408735,0.833207,523.181396,120.090904
29.991536,0.408634,0.833507,523.051697,119.875038
30.023536,0.408684,0.833887,523.116150,119.601135
30.055539,0.408801,0.834111,523.265381,119.440361
31.767482,0.336553,0.819591,430.788177,129.894516
31.809465,0.335499,0.818665,429.438629,130.561371
31.843561,0.334558,0.817599,428.234650,131.328461
31.872077,0.333676,0.816654,427.105896,132.009323
31.899497,0.332942,0.815951,426.165619,132.514923
31.931520,0.332060,0.815484,425.036743,132.851196
31.967534,0.330981,0.815127,423.655975,133.108414
31.999506,0.329875,0.814964,422.240448,133.225586
32.035561,0.328557,0.814545,420.553131,133.527451
32.067504,0.327413,0.814008,419.088654,133.914185
32.099530,0.326155,0.813834,417.478729,134.039795
32.135467,0.324635,0.813771,415.532867,134.084961
32.167463,0.323276,0.813587,413.793365,134.217621
32.199492,0.322209,0.813594,412.427856,134.212296
32.235477,0.321465,0.813145,411.474701,134.535797
32.267551,0.321279,0.813065,411.236908,134.593399
32.303515,0.321003,0.812624,410.883606,134.910828
32.335471,0.320729,0.812821,410.533569,134.769165
32.367612,0.320602,0.813445,410.370514,134.319931
32.403528,0.320547,0.813764,410.300781,134.089645
32.435526,0.320635,0.813911,410.412964,133.984116
32.467482,0.320764,0.813777,410.578064,134.080811
32.503536,0.321126,0.813917,411.041168,133.979889
32.535480,0.321416,0.813930,411.413025,133.970093
32.571491,0.321536,0.813914,411.566193,133.982117
32.603535,0.321460,0.813690,411.468872,134.143112
32.635495,0.321282,0.812600,411.241180,134.927719
32.671472,0.320889,0.811445,410.737732,135.759537
32.705884,0.320630,0.810768,410.406616,136.247040
32.735811,0.320103,0.810417,409.731415,136.499481
34.311449,0.267179,0.791359,341.989258,150.221527
