timestamp,world_index,world_index_corrected,x,y,z
2.339125693,60,69,2.92093244,-0.31704610,-1.48929839
2.354014238,61,70,2.92188165,-0.31747018,-1.48984555
2.382143929,62,71,2.92227375,-0.31847859,-1.48935365
2.396959414,62,71,2.92163504,-0.31896631,-1.48892478
2.411737580,63,72,2.92043771,-0.31805759,-1.48821997
2.434918378,63,72,2.91893653,-0.31622338,-1.48862815
2.456954878,64,73,2.91719074,-0.31447949,-1.48916520
2.480484163,65,74,2.91563593,-0.31318547,-1.48889024
2.494223677,65,74,2.91437892,-0.31239811,-1.48842967
2.524976858,66,75,2.91317938,-0.31225852,-1.48746149
2.531758503,66,75,2.91219564,-0.31197953,-1.48672008
2.554221413,67,76,2.91151461,-0.31140372,-1.48720723
2.576830267,68,77,2.91159821,-0.31063908,-1.48907337
2.593387818,68,77,2.91163205,-0.30988844,-1.48952315
2.614981560,69,78,2.91170842,-0.30904003,-1.48972542
2.637535529,69,78,2.91189076,-0.30769965,-1.49035791
2.654000909,70,79,2.91221776,-0.30687179,-1.49156543
2.675854702,71,80,2.91235485,-0.30644621,-1.49234015
2.696938041,71,80,2.91179708,-0.30584537,-1.49188633
2.713526674,72,81,2.91141533,-0.30492261,-1.49079539
2.734455261,72,81,2.91101999,-0.30414116,-1.49021330
2.758863970,73,82,2.91055308,-0.30343244,-1.49031479
2.773702002,73,82,2.91016721,-0.30280886,-1.49103211
2.801952224,74,83,2.90987243,-0.30208285,-1.49168998
2.816981831,75,84,2.90998701,-0.30142221,-1.49214152
2.839961204,75,84,2.91027064,-0.30096326,-1.49268087
2.856138115,76,85,2.91048642,-0.30060470,-1.49337344
2.876860600,77,86,2.91055847,-0.30030738,-1.49377119
2.915871402,78,87,2.91055625,-0.30028462,-1.49368754
2.918930851,78,87,2.91086084,-0.30004278,-1.49385257
2.939250684,78,87,2.91163500,-0.29918146,-1.49460355
2.961209890,79,88,2.91235311,-0.29880716,-1.49511220
2.974916567,79,88,2.91235536,-0.29882978,-1.49519592
2.997633926,80,89,2.91200688,-0.29883892,-1.49461469
3.021337603,81,90,2.91197478,-0.29845918,-1.49430322
3.036530913,81,90,2.91197478,-0.29845918,-1.49430322
3.056820347,82,91,2.91222741,-0.29850748,-1.49477700
3.080796721,83,92,2.91231110,-0.29859684,-1.49477923
3.094302820,83,92,2.91231110,-0.29859684,-1.49477923
3.116934981,84,93,2.91228743,-0.29859898,-1.49468572
3.139405494,84,93,2.91217968,-0.29860056,-1.49563709
3.154925313,85,94,2.91215601,-0.29860270,-1.49554362
3.177015560,85,94,2.91169182,-0.29814270,-1.49464882
3.199329278,86,95,2.91147428,-0.29770313,-1.49475730
3.214926457,87,96,2.91144848,-0.29768258,-1.49458015
3.244466572,87,96,2.91144848,-0.29768258,-1.49458015
3.259135440,88,97,2.91135499,-0.29776256,-1.49455649
3.276957588,88,97,2.91135499,-0.29776256,-1.49455649
3.297566925,89,98,2.91144848,-0.29768258,-1.49458015
