timestamp,world_index,world_index_corrected,mico_joint_1_pos,mico_joint_2_pos,mico_joint_3_pos,mico_joint_4_pos,mico_joint_5_pos,mico_joint_6_pos,mico_joint_finger_1_pos,mico_joint_finger_2_pos,mico_joint_1_vel,mico_joint_2_vel,mico_joint_3_vel,mico_joint_4_vel,mico_joint_5_vel,mico_joint_6_vel,mico_joint_finger_1_vel,mico_joint_finger_2_vel,mico_joint_1_eff,mico_joint_2_eff,mico_joint_3_eff,mico_joint_4_eff,mico_joint_5_eff,mico_joint_6_eff,mico_joint_finger_1_eff,mico_joint_finger_2_eff
0.341360397,10,10,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.523815,-6.110952,5.210208,0.391511,0.166885,-0.226037,0.000000,0.000000
0.353213029,10,10,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.408888,-6.448539,5.195831,0.375744,0.085504,-0.189729,0.000000,0.000000
0.365110335,11,11,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386016,-5.988147,5.184971,0.613346,0.065272,-0.123965,0.000000,0.000000
0.377114931,11,11,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.086046,-6.431952,4.814503,0.677611,0.041992,-0.179353,0.000000,0.000000
0.389140967,11,11,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056021,-5.814759,4.627382,0.480319,0.060380,-0.099549,0.000000,0.000000
0.401132518,12,12,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.479877,-6.512599,4.735373,0.565273,-0.045094,-0.237840,0.000000,0.000000
0.413087716,12,12,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.148582,-6.355445,4.821625,0.569529,0.043194,-0.304593,0.000000,0.000000
0.425359585,12,12,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.453117,-6.433575,4.643236,0.566598,0.079571,-0.307604,0.000000,0.000000
0.437089075,13,13,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004209,-5.848789,4.565996,0.622335,0.061765,-0.213981,0.000000,0.000000
0.449113025,13,13,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.315807,-6.313252,4.784688,0.548908,0.165037,-0.109247,0.000000,0.000000
0.460931843,13,13,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.157220,-6.580982,4.507606,0.607593,-0.036782,-0.162723,0.000000,0.000000
0.473342023,14,14,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101257,-6.243527,4.506326,0.717490,0.127768,-0.081597,0.000000,0.000000
0.485088407,14,14,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025427,-5.790592,4.632331,0.665020,0.095255,-0.218037,0.000000,0.000000
0.497090997,15,15,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331525,-5.923656,4.884221,0.553494,0.079458,-0.115320,0.000000,0.000000
0.508923791,15,15,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.414063,-6.048826,4.970463,0.574533,-0.006086,-0.291199,0.000000,0.000000
0.521176455,15,15,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285863,-6.279110,4.951653,0.655232,0.150457,-0.356434,0.000000,0.000000
0.533132369,16,16,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202382,-6.393601,5.075504,0.590207,0.270477,-0.351552,0.000000,0.000000
0.545161228,16,16,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.574107,-6.147330,4.725598,0.788328,0.120292,-0.097673,0.000000,0.000000
0.557089657,16,16,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264848,-5.963158,4.614130,0.575447,0.231038,-0.097702,0.000000,0.000000
0.568878023,17,17,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.572867,-6.240068,5.172949,0.573579,0.048883,-0.264885,0.000000,0.000000
0.581019770,17,17,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.457099,-6.158066,4.590474,0.392059,0.214002,-0.221885,0.000000,0.000000
0.593381353,17,17,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359469,-6.616807,4.641498,0.705938,0.195881,-0.300578,0.000000,0.000000
0.605163342,18,18,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.444054,-5.962601,4.527395,0.528148,0.202924,-0.257872,0.000000,0.000000
0.617012450,18,18,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.291453,-6.307020,4.647615,0.556687,0.118095,-0.110748,0.000000,0.000000
0.628981669,18,18,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.052312,-6.070760,5.186565,0.729576,0.101031,-0.213009,0.000000,0.000000
0.640983552,18,19,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.518247,-6.457744,5.209808,0.548532,0.260957,-0.078921,0.000000,0.000000
0.652988824,18,19,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.063550,-6.048457,4.922120,0.606070,0.236704,-0.308552,0.000000,0.000000
0.664912030,18,20,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.255749,-6.270366,5.002565,0.619043,0.198090,-0.310719,0.000000,0.000000
0.677406418,18,20,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.094782,-6.242841,4.825426,0.825476,0.061004,-0.341504,0.000000,0.000000
0.689095594,18,20,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.385813,-6.185383,4.953402,0.474629,0.244372,-0.130341,0.000000,0.000000
0.700989751,18,21,-1.212747,-1.346534,-0.560174,-2.247905,0.750888,4.505329,0.947333,0.939556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105625,-6.123815,4.865106,0.759727,0.206694,-0.090456,0.000000,0.000000
