timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,base_data,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z
0.174067,5,5,0.962593,0.711013,0.745584,1519230659.491463-0 1519230659.496872-1,30.185550,-23.770635,93.485684,19.891683,14.461850,-20.924157,0.084756,-0.277887,0.956867,-39.328103,14.569492,-22.201352,0.495258,-0.310705,0.811284
0.177535,5,5,1.000000,0.711327,0.745438,1519230659.498399-0 1519230659.496872-1,30.303353,-23.811883,93.688653,19.891683,14.461850,-20.924157,0.085574,-0.277497,0.956908,-39.328103,14.569492,-22.201352,0.495258,-0.310705,0.811284
0.180645,5,5,1.000000,0.711292,0.745732,1519230659.498399-0 1519230659.503092-1,30.306190,-23.844924,93.709468,19.891683,14.461850,-20.924157,0.085574,-0.277497,0.956908,-39.328103,14.569492,-22.201352,0.495178,-0.311075,0.811191
0.186457,5,5,1.000000,0.711095,0.745727,1519230659.510023-0 1519230659.503092-1,30.232537,-23.810473,93.585067,19.891683,14.461850,-20.924157,0.085063,-0.277608,0.956921,-39.328103,14.569492,-22.201352,0.495178,-0.311075,0.811191
0.194144,5,5,1.000000,0.710885,0.745557,1519230659.510023-0 1519230659.518466-1,30.245253,-23.830744,93.738237,19.891683,14.461850,-20.924157,0.085063,-0.277608,0.956921,-39.328103,14.569492,-22.201352,0.494785,-0.310727,0.811564
0.201350,6,6,1.000000,0.710911,0.745317,1519230659.524436-0 1519230659.518466-1,30.255995,-23.814300,93.762655,19.891683,14.461850,-20.924157,0.085137,-0.277263,0.957015,-39.328103,14.569492,-22.201352,0.494785,-0.310727,0.811564
0.203416,6,6,1.000000,0.710749,0.745404,1519230659.524436-0 1519230659.522596-1,30.266368,-23.850203,93.878539,19.891683,14.461850,-20.924157,0.085137,-0.277263,0.957015,-39.328103,14.569492,-22.201352,0.494471,-0.310748,0.811748
0.205620,6,6,1.000000,0.710507,0.745418,1519230659.524436-0 1519230659.527004-1,30.281556,-23.892976,94.052742,19.891683,14.461850,-20.924157,0.085137,-0.277263,0.957015,-39.328103,14.569492,-22.201352,0.494008,-0.310625,0.812076
0.210620,6,6,1.000000,0.711020,0.745860,1519230659.534438-0 1519230659.527004-1,30.472765,-24.021054,94.365542,19.891683,14.461850,-20.924157,0.086457,-0.277562,0.956809,-39.328103,14.569492,-22.201352,0.494008,-0.310625,0.812076
0.217020,6,6,1.000000,0.710471,0.746333,1519230659.534438-0 1519230659.539803-1,30.509231,-24.160726,94.759636,19.891683,14.461850,-20.924157,0.086457,-0.277562,0.956809,-39.328103,14.569492,-22.201352,0.492934,-0.310933,0.812611
0.221935,6,6,1.000000,0.710335,0.745787,1519230659.544269-0 1519230659.539803-1,30.459642,-24.088503,94.689609,19.891683,14.461850,-20.924157,0.086116,-0.276892,0.957034,-39.328103,14.569492,-22.201352,0.492934,-0.310933,0.812611
0.228534,6,6,1.000000,0.709598,0.745137,1519230659.544269-0 1519230659.553000-1,30.505836,-24.156959,95.240833,19.891683,14.461850,-20.924157,0.086116,-0.276892,0.957034,-39.328103,14.569492,-22.201352,0.491547,-0.309636,0.813945
0.232823,7,7,1.000000,0.710088,0.745166,1519230659.552846-0 1519230659.553000-1,30.692154,-24.246048,95.558309,19.891683,14.461850,-20.924157,0.087385,-0.276636,0.956994,-39.328103,14.569492,-22.201352,0.491547,-0.309636,0.813945
0.235617,7,7,1.000000,0.710409,0.745274,1519230659.558435-0 1519230659.553000-1,30.814890,-24.312798,95.765100,19.891683,14.461850,-20.924157,0.088217,-0.276589,0.956931,-39.328103,14.569492,-22.201352,0.491547,-0.309636,0.813945
0.237542,7,7,1.000000,0.709255,0.745861,1519230659.558435-0 1519230659.556851-1,30.894641,-24.575767,96.626213,19.891683,14.461850,-20.924157,0.088217,-0.276589,0.956931,-39.328103,14.569492,-22.201352,0.489285,-0.309741,0.815268
0.240618,7,7,0.995230,0.707068,0.745859,1519230659.558435-0 1519230659.563001-1,31.046795,-24.978866,98.313649,19.891683,14.461850,-20.924157,0.088217,-0.276589,0.956931,-39.328103,14.569492,-22.201352,0.485007,-0.308445,0.818309
0.248403,7,7,0.995230,0.707859,0.746146,1519230659.574006-0 1519230659.563001-1,31.357919,-25.152600,98.846764,19.891683,14.461850,-20.924157,0.090262,-0.276505,0.956764,-39.328103,14.569492,-22.201352,0.485007,-0.308445,0.818309
0.255674,7,7,0.959444,0.705308,0.742988,1519230659.574006-0 1519230659.577543-1,31.540097,-25.332540,100.949090,19.891683,14.461850,-20.924157,0.090262,-0.276505,0.956764,-39.328103,14.569492,-22.201352,0.480085,-0.302651,0.823360
0.257674,7,7,0.959444,0.706362,0.743391,1519230659.578006-0 1519230659.577543-1,31.966880,-25.572776,101.690745,19.891683,14.461850,-20.924157,0.092985,-0.276413,0.956530,-39.328103,14.569492,-22.201352,0.480085,-0.302651,0.823360
0.264211,7,7,0.990000,0.697184,0.745293,1519230659.578006-0 1519230659.590617-1,32.753478,-27.727601,109.873220,19.891683,14.461850,-20.924157,0.092985,-0.276413,0.956530,-39.328103,14.569492,-22.201352,0.461120,-0.299585,0.835235
0.266419,8,8,0.807856,0.696901,0.745479,1519230659.582422-0 1519230659.590617-1,32.629087,-27.685010,109.636362,19.891683,14.461850,-20.924157,0.092253,-0.276853,0.956474,-39.328103,14.569492,-22.201352,0.461120,-0.299585,0.835235
0.272219,8,8,0.741237,0.667090,0.705452,1519230659.594022-0 1519230659.590617-1,22.266260,-19.176232,91.304594,19.891683,14.461850,-20.924157,0.020020,-0.239632,0.970657,-39.328103,14.569492,-22.201352,0.461120,-0.299585,0.835235
0.274426,8,8,0.741237,0.658278,0.706253,1519230659.594022-0 1519230659.595032-1,22.396708,-20.553716,97.787059,19.891683,14.461850,-20.924157,0.020020,-0.239632,0.970657,-39.328103,14.569492,-22.201352,0.442444,-0.294592,0.847029
0.374610,11,11,0.770759,0.433582,0.306727,1519230659.794390-0 1519230659.595032-1,-5.672694,7.066886,43.944050,19.891683,14.461850,-20.924157,-0.357568,0.092592,0.929286,-39.328103,14.569492,-22.201352,0.442444,-0.294592,0.847029
0.404624,12,12,0.726318,0.285018,-0.098395,1519230659.794390-0 1519230659.655060-1,-167.210792,245.064592,365.064621,19.891683,14.461850,-20.924157,-0.357568,0.092592,0.929286,-39.328103,14.569492,-22.201352,-0.245555,0.793532,0.556785
0.505081,15,15,0.726282,0.380413,0.207337,1519230659.794390-0 1519230659.855973-1,-15.861406,18.786789,72.182745,19.891683,14.461850,-20.924157,-0.357568,0.092592,0.929286,-39.328103,14.569492,-22.201352,0.240625,-0.006052,0.970599
0.522841,15,15,0.726282,0.430411,0.266837,1519230659.829910-0 1519230659.855973-1,-11.913079,17.540490,88.245034,19.891683,14.461850,-20.924157,-0.279382,0.059189,0.958354,-39.328103,14.569492,-22.201352,0.240625,-0.006052,0.970599
0.525657,15,15,0.726282,0.432861,0.282459,1519230659.835543-0 1519230659.855973-1,-11.671495,16.409135,89.290196,19.891683,14.461850,-20.924157,-0.275158,0.039040,0.960606,-39.328103,14.569492,-22.201352,0.240625,-0.006052,0.970599
0.533651,16,16,0.726282,0.435455,0.274751,1519230659.851531-0 1519230659.855973-1,-11.431031,17.231932,90.212302,19.891683,14.461850,-20.924157,-0.271012,0.052997,0.961116,-39.328103,14.569492,-22.201352,0.240625,-0.006052,0.970599
0.539406,16,16,0.726282,0.437219,0.276697,1519230659.863041-0 1519230659.855973-1,-11.258677,17.191102,90.910593,19.891683,14.461850,-20.924157,-0.268075,0.052026,0.961992,-39.328103,14.569492,-22.201352,0.240625,-0.006052,0.970599
0.554033,16,16,0.855589,0.440020,0.274400,1519230659.863041-0 1519230659.885226-1,-10.551527,16.895131,88.368595,19.891683,14.461850,-20.924157,-0.268075,0.052026,0.961992,-39.328103,14.569492,-22.201352,0.251627,-0.010252,0.967770
0.558814,16,16,0.855589,0.441609,0.275349,1519230659.872604-0 1519230659.885226-1,-10.395238,16.924637,88.968015,19.891683,14.461850,-20.924157,-0.265442,0.052330,0.962706,-39.328103,14.569492,-22.201352,0.251627,-0.010252,0.967770
0.561709,16,16,0.855589,0.443635,0.277839,1519230659.878393-0 1519230659.885226-1,-10.192152,16.855663,89.753846,19.891683,14.461850,-20.924157,-0.262054,0.050859,0.963712,-39.328103,14.569492,-22.201352,0.251627,-0.010252,0.967770
0.565745,17,17,0.855589,0.446598,0.281127,1519230659.886465-0 1519230659.885226-1,-9.889665,16.782981,90.922192,19.891683,14.461850,-20.924157,-0.257078,0.049218,0.965137,-39.328103,14.569492,-22.201352,0.251627,-0.010252,0.967770
0.576578,17,17,0.963935,0.450075,0.272750,1519230659.886465-0 1519230659.906892-1,-9.088178,16.918349,87.914957,19.891683,14.461850,-20.924157,-0.257078,0.049218,0.965137,-39.328103,14.569492,-22.201352,0.264596,-0.006865,0.964335
0.584294,17,17,0.877010,0.452366,0.274596,1519230659.901897-0 1519230659.906892-1,-8.850980,16.922994,88.779537,19.891683,14.461850,-20.924157,-0.253231,0.048991,0.966164,-39.328103,14.569492,-22.201352,0.264596,-0.006865,0.964335
