timestamp,world_index,world_index_corrected,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
-3.209269,0,0,0.990000,0.263267,0.546845,122.890195,3d c++,168.491164,217.514509,68.322263,122.890195,21.760663,5.184677,0.793260,23.000000,1.074755,2.350308,34.937585,12.000000,-6.503568,-0.999526,26.257284,-0.631527,-0.279153,-0.723358,2.592338,1.287884,-2.288520,339.072522,281.708413,425.902361,425.902361,90.000000
-3.201661,0,0,0.990000,0.261292,0.545825,122.225160,3d c++,167.226905,218.003961,67.169403,122.225160,21.479772,5.166159,0.793518,23.000000,1.074755,2.350308,34.937585,12.000000,-6.568129,-0.979563,26.306346,-0.636907,-0.277489,-0.719270,2.583079,1.289617,-2.295537,339.072522,281.708413,425.902361,425.902361,90.000000
-3.194407,0,0,1.000000,0.261279,0.546074,122.414510,3d c++,167.218557,217.884281,67.226433,122.414510,21.513112,5.174776,0.793825,23.000000,1.074755,2.350308,34.937585,12.000000,-6.569526,-0.984944,26.309662,-0.637023,-0.277938,-0.718994,2.587388,1.289150,-2.295819,339.072522,281.708413,425.902361,425.902361,90.000000
-3.187567,0,0,1.000000,0.261455,0.546041,122.342748,3d c++,167.331282,217.900300,67.278921,122.342748,21.520919,5.170607,0.794134,23.000000,1.074755,2.350308,34.937585,12.000000,-6.563209,-0.984018,26.303711,-0.636497,-0.277861,-0.719489,2.585304,1.289230,-2.295066,339.072522,281.708413,425.902361,425.902361,90.000000
-3.179612,0,0,1.000000,0.261185,0.545938,122.626751,3d c++,167.158487,217.949722,67.310940,122.626751,21.488134,5.184078,0.794466,23.000000,1.074755,2.350308,34.937585,12.000000,-6.572859,-0.982360,26.311617,-0.637301,-0.277722,-0.718831,2.592039,1.289374,-2.296148,339.072522,281.708413,425.902361,425.902361,90.000000
-3.171546,0,0,1.000000,0.260979,0.545780,122.721433,3d c++,167.026854,218.025393,67.282721,122.721433,21.452242,5.189021,0.794751,23.000000,1.074755,2.350308,34.937585,12.000000,-6.579800,-0.979339,26.316608,-0.637880,-0.277471,-0.718415,2.594510,1.289636,-2.296885,339.072522,281.708413,425.902361,425.902361,90.000000
-3.163563,0,0,1.000000,0.260986,0.545833,122.668624,3d c++,167.031266,218.000222,67.251128,122.668624,21.459818,5.186842,0.795152,23.000000,1.074755,2.350308,34.937585,12.000000,-6.579585,-0.980385,26.316821,-0.637862,-0.277558,-0.718397,2.593421,1.289545,-2.296884,339.072522,281.708413,425.902361,425.902361,90.000000
-3.155617,0,0,1.000000,0.261033,0.546199,122.799511,3d c++,167.061121,217.824474,67.289584,122.799511,21.513200,5.192858,0.795531,23.000000,1.074755,2.350308,34.937585,12.000000,-6.579081,-0.988105,26.319361,-0.637820,-0.278201,-0.718185,2.596429,1.288876,-2.296997,339.072522,281.708413,425.902361,425.902361,90.000000
-3.147610,0,0,1.000000,0.260922,0.545757,122.851471,3d c++,166.989794,218.036509,67.325441,122.851471,21.445163,5.194847,0.795982,23.000000,1.074755,2.350308,34.937585,12.000000,-6.582001,-0.979018,26.318439,-0.638063,-0.277444,-0.718262,2.597424,1.289664,-2.297134,339.072522,281.708413,425.902361,425.902361,90.000000
-3.135558,0,0,1.000000,0.260987,0.546068,122.702018,3d c++,167.031642,217.887437,67.235233,122.702018,21.491947,5.188731,0.796387,23.000000,1.074755,2.350308,34.937585,12.000000,-6.580184,-0.985325,26.319264,-0.637912,-0.277969,-0.718193,2.594365,1.289117,-2.297063,339.072522,281.708413,425.902361,425.902361,90.000000
